"VV_mean_30","VH_mean_30","VV_sd_30","VH_sd_30","VV_mean_60","VH_mean_60","VV_sd_60","VH_sd_60","VV_mean_90","VH_mean_90","VV_sd_90","VH_sd_90","VV_mean_120","VH_mean_120","VV_sd_120","VH_sd_120","VV_mean_150","VH_mean_150","VV_sd_150","VH_sd_150","VV_mean_250","VH_mean_250","VV_sd_250","VH_sd_250","VV_mean_500","VH_mean_500","VV_sd_500","VH_sd_500"
-10.2631384316206,-15.0231234709458,2.61662331468283,1.98952536820784,-8.39972866300432,-14.8699628676949,2.58603044925239,1.60576497783109,-8.39568141552438,-14.6153471194841,2.54633485959604,1.86278210171079,-8.27544270760981,-14.7249141662289,2.42492859946383,1.95670607039755,-8.67889296389046,-14.8930858575296,2.53129580414462,2.14229403149191,-8.58783498237634,-14.897609001882,2.28204833041292,2.21186082894953,-8.55263303292862,-14.6219859569325,2.22793067338951,2.24570089839249
-8.1802297212109,-15.3613936435071,2.36774168808716,1.72445610955313,-9.22620799777329,-15.2184367263259,2.02405889519604,1.92638910685558,-9.15823228437061,-15.0459447897258,2.08351023255807,2.20693639870644,-8.71445390726124,-14.5724990670094,2.13405057833571,2.43231927720453,-8.4674974741828,-14.2472291745303,2.32174672929176,2.43690885425559,-8.56232831994361,-14.4720811813638,2.26360176981936,2.25552122211453,-8.53767587035852,-14.6066424255739,2.1691675577279,2.23731031453855
-8.67400535129353,-13.6943283553215,2.24549675803401,1.71153094648279,-9.21570621896391,-14.4374515198213,2.34291396906328,2.13990528146341,-8.68026558789541,-14.2029543573256,2.39700241245398,2.38892245554075,-8.3796705201852,-14.3424823682527,2.36029532586421,2.52952154092867,-8.38843775044155,-14.2821934787333,2.25828971494341,2.4321455387046,-8.57160307443126,-14.5519860360709,2.21203696946219,2.41740879024463,-8.49093557894184,-14.6704234565446,2.12070228192585,2.23556434225152
-9.23910742223664,-14.5089333569084,2.26858556650981,1.80993182886055,-8.20636778076063,-13.8627489251971,2.20072729017821,1.56019458566013,-7.78259781887876,-13.8207156059166,2.03287513576346,1.70889835240361,-7.95761251474339,-14.3376230379161,2.21954951816169,2.0762645836454,-8.01415070460786,-14.4581058478922,2.30120455348836,2.14712992840606,-8.38570917669494,-14.7035167484449,2.33232452928815,2.24589752609504,-8.47197304573753,-14.6900974452023,2.19170769226983,2.2103293672341
-9.16507613981664,-14.8563837777454,2.08952899226668,0.910121308795182,-8.08269235524702,-14.6464492677864,2.25462305220273,2.12777332846039,-7.64970216128477,-14.5119410331676,2.2945928192912,2.29453729837301,-7.81117974620801,-14.5501637384047,2.26132121113225,2.44001153881384,-8.06335580443152,-14.540187448869,2.20650348555264,2.44940663845342,-8.05409697526063,-14.1767534521039,2.27087447309071,2.4365801859987,-8.30721787002243,-14.4726859695738,2.30981613945411,2.44361935232437
-9.00102895932068,-16.1784318339265,1.79730549688378,1.43280563837319,-8.73807749601326,-16.1421551954012,1.58144076626687,1.3752339098278,-8.57891637101571,-15.2834677079316,1.85983452636894,2.49065819178722,-8.20093928242594,-14.6051554558797,1.88132289068289,2.42083884739498,-8.30347205073862,-14.5909219909482,1.92185978699437,2.23654661218121,-8.197743457639,-14.3872989790796,2.26203835993721,2.37067183574344,-8.33537544781865,-14.5329274744935,2.42469963067627,2.5561646906635
-7.81576533611804,-13.9093714434548,1.69295931506012,2.55168690272874,-8.5284765239911,-14.3816189387218,2.39644651601991,2.33906431292153,-9.33977117523868,-15.0199067826798,2.67513476107694,2.61450149102129,-9.53394009492179,-15.3314306319042,2.83757135472776,3.11510012756871,-9.66282522053953,-15.552814873294,3.33261620981266,3.61949312376285,-9.71115383321044,-15.6611957302903,3.7193205858026,3.91353944130805,-9.32936009149206,-15.473768692178,3.18749246114652,3.328857381587
-7.81414768497259,-15.3390616942656,1.89243136009801,2.92395349466382,-8.60713977670094,-14.9134926116424,3.01757749930268,2.43483424410267,-8.52425551059562,-15.0937383352159,2.60277486229444,2.26339835270732,-8.22764537464389,-14.7180245645746,2.48413596237706,2.17786516320087,-8.33217524329559,-14.8796425221549,2.44812325808666,2.23294414848349,-8.54918615039336,-14.9138311224537,2.45697592075388,2.36907910468164,-9.23431924826648,-15.4097526552271,2.96884600640185,2.86341767221126
-8.52760999022366,-14.8182548289853,1.84601226918022,1.7676664856606,-8.18055404814423,-14.9738699361819,2.48797915817204,2.55482916601023,-8.0786100786022,-15.0510523016094,2.41213416819972,2.42911569804797,-8.30124104470036,-15.2411784770529,2.48968893100586,2.59798238115479,-8.45118759517094,-15.0116921957179,2.6632814654532,2.56988162746558,-8.78835143402038,-15.099774079771,2.61679300577156,2.49281805467979,-9.08374207652849,-15.2214225043108,3.06514623917611,2.98495277714713
-9.11407524307139,-14.3124470831382,1.55977327455767,1.77074150202071,-9.53471310666158,-15.5581155611847,2.20981010135525,1.94619764778112,-9.76002064795842,-15.972347547081,2.16792582643702,2.01046255448628,-9.25121869088174,-15.5448368148165,2.21077387255215,2.05322863494218,-8.8131761531934,-15.1792138806571,2.1766329379367,2.18203701051285,-8.76906639496104,-15.1294909688172,2.16728242270656,2.11202438409279,-8.30832277665181,-14.6917191851167,2.50420611264688,2.38981825008114
-7.44637122990456,-13.889726075223,1.86342690136353,2.11308002768113,-7.57073810168784,-14.6743594368366,2.01981094916627,2.27398228012018,-7.96639281513368,-14.8360949514519,2.15273902753281,2.10789081405344,-8.32595415045063,-15.1390769716628,2.32035773256212,2.15245453474289,-8.4165163103654,-15.1908289812497,2.32975163608967,2.08635929471271,-8.66715598211958,-15.0749022948424,2.27827917308007,2.23305198958632,-8.67767930019818,-14.9010896291625,2.76568889770214,2.65354675103607
-10.5457435989987,-16.2248723685544,2.46103090878281,2.01986927514101,-12.1422212630221,-17.620897230184,2.93203007100801,3.46301573865045,-11.4855388363117,-17.0917692874116,3.13666147855725,3.45634003813713,-10.7519977253981,-16.7989017728694,3.35803837407663,3.48294151001641,-10.3663961935916,-16.3772180346683,3.17964504540266,3.16018033974986,-9.58514401958774,-16.0219414676062,2.97451763171842,2.93335432651964,-9.3402937537342,-15.8381475316592,3.03704509877372,2.94473306026585
