,lon,lat,Penetratable_Canopy_Cover,height_m,Plant_Area_Index,Height_Diversity,Foliage_Clumping,Gap_probability,canopy_cover_pct,Colour
54,-10.85884785,7.717570378,0.828922212,4.67,0.245193526,1.664810419,1,0.884396136,0.115365371,red
55,-10.85854168,7.717990628,0.92375052,5.67,0.38615343,1.680724144,1,0.824089706,0.175547361,red
56,-10.8582358,7.718410816,0.931369603,12.34,3.415615559,2.289388418,1,0.180623874,0.817685664,red
57,-10.85793138,7.718830834,0.80354917,4.86,0.157726243,1.689721227,1,0.92401576,0.075827487,red
58,-10.85762971,7.719250562,0.952568948,11.63,1.441747665,2.275394678,1,0.485602856,0.513335884,red
59,-10.85732882,7.719670181,0.850535691,9.01,0.625646174,2.160746574,1,0.730906487,0.268538386,red
60,-10.85702186,7.720090317,0.920391917,5.59,0.142930627,1.627380133,1,0.930891037,0.068966396,red
61,-10.85671653,7.720510262,0.867016375,6.23,0.175490737,1.896695852,1,0.91582793,0.083998404,red
62,-10.85639792,7.72093138,0.949676812,30.1,2.231277704,2.822747469,1,0.326950908,0.671660542,red
63,-10.85610513,7.72135009,0.982310712,16.89,4.381234646,2.54803443,1,0.111342289,0.886824369,red
64,-10.85580198,7.721769703,0.956442177,19.78,2.995615005,2.865869761,1,0.222928554,0.77546829,red
65,-10.85549329,7.722189778,0.986826122,33.2,-9999,-9999,1,-9999,-9999,black
66,-10.85518756,7.722609538,0.956546426,13.64,2.846884012,2.497307301,1,0.240175679,0.758256793,red
67,-10.854881,7.723029332,0.931741714,18.05,3.716503382,2.779651403,1,0.155347109,0.842910349,red
68,-10.85458495,7.723448125,0.929152906,31,3.854341984,3.161498308,1,0.144980639,0.853255451,red
69,-10.85427724,7.723867952,0.944107175,38.54,-9999,-9999,1,-9999,-9999,black
70,-10.85398142,7.724286658,0.952825069,25.23,-9999,-9999,1,-9999,-9999,black
71,-10.8536792,7.724705919,0.943621039,20.22,-9999,-9999,1,-9999,-9999,black
72,-10.85338266,7.725124634,0.952095985,15.02,3.534165621,2.539668798,1,0.170207709,0.828080416,red
73,-10.853075,7.725544345,0.962142467,15.96,2.953332901,2.693371534,1,0.227701649,0.770705104,red
74,-10.85276305,7.725964429,0.954143167,19.52,2.941952944,2.894671202,1,0.229003683,0.769405842,red
75,-10.85246495,7.726383226,0.943944812,16.11,2.009379864,2.725755215,1,0.365398467,0.633292377,red
76,-10.85215401,7.726803185,0.963992894,26.65,-9999,-9999,1,-9999,-9999,black
77,-10.8518488,7.727222608,0.946228027,40.61,-9999,-9999,1,-9999,-9999,black
78,-10.85154951,7.727641481,0.986752987,18.46,3.562548876,2.873612165,1,0.167804331,0.830478907,red
79,-10.85125232,7.728060154,0.984449208,23.44,2.97101903,3.087532759,1,0.225692824,0.772709846,red
80,-10.85095442,7.728478892,0.901231289,14.53,1.642486691,2.622589111,1,0.439138234,0.559704721,red
81,-10.85065016,7.728898211,0.954592526,14.57,2.426365376,2.619291067,1,0.296505183,0.702043593,red
82,-10.85033001,7.72931899,0.940496206,35.22,-9999,-9999,1,-9999,-9999,black
83,-10.85003211,7.729737738,0.941136539,28.27,-9999,-9999,1,-9999,-9999,black
84,-10.84972204,7.73015761,0.941936374,23.62,-9999,-9999,1,-9999,-9999,black
85,-10.84942226,7.73057655,0.946579158,18.69,2.730434179,2.853491306,1,0.25460574,0.743856609,red
86,-10.84911941,7.730995789,0.988030732,26.57,-9999,-9999,1,-9999,-9999,black
87,-10.84881002,7.731415644,0.956027269,13.05,3.354977369,2.54245615,1,0.18619585,0.812125385,red
88,-10.84850519,7.731835103,0.966067553,14.61,3.897830009,2.555391788,1,0.141855896,0.856373906,red
89,-10.84821634,7.732253121,0.940527499,12.56,3.600016832,2.372755051,1,0.16468361,0.833593249,red
90,-10.8479047,7.732673254,0.918442726,22.36,2.567972898,2.990473032,1,0.276197106,0.722309828,red
