<<<<<<< HEAD
"Plot_ID","X","Y","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
1,-10.6954,7.756008,0.745313550230797,-4.38605772278279,0.0118212365169168,0.290724054308078,0.358053895470122,-0.198865824243784,-0.985218355265304,1.01850166023289,0.231413586253235,-1.09182920975001
2,-10.69696,7.75678,0.961158349629553,-5.10415141200771,0.149919751960753,0.218091755446305,-0.68364843245233,-0.876045583650117,-1.28876969109274,1.63565092072878,-0.588116554523292,-1.05600165030238
3,-10.69795,7.757723,1.30397759752846,-7.71063938012933,0.026725691430011,-0.302496746681008,-1.71318377488449,-1.94185008466878,-1.29634783280863,3.46980377067139,-0.00514202032507473,-1.23870996262002
4,-10.69632,7.754995,0.891597499913304,-4.8284501389103,-0.266609697058362,0.261069318150245,-0.782138976602065,-0.304821273932047,-1.47241057483847,1.77444101345078,-0.330864951721254,-1.41798642835766
5,-10.69346,7.761432,0.884452488420185,-4.64282966516319,0.382237737319533,0.449479588590688,-0.0836017173444839,-0.50509177066966,-0.872728894439213,1.1848283541464,0.0650937638900706,-1.67127455352972
6,-10.69325,7.762626,0.40622991023158,-4.45750705267945,0.270691827579333,0.784939265278535,0.286846928896282,-0.228020397238096,-0.862265914384874,1.13263768338817,0.14135774298518,-1.07287655719427
7,-10.70166,7.767985,3.31616769362815,-7.18358344108565,-0.174415686695031,-0.462626840394443,-0.780541457178712,-1.33961135966704,-0.946198382132242,2.02768805347538,-1.15701712361714,-3.6672680069333
8,-10.69513,7.776661,0.720446058115346,-4.47347757047643,0.285576116183538,0.242337145863247,0.474339802080708,-0.389354750125585,-0.742789375259251,1.34416453980588,0.282657742902061,-1.15485194464991
9,-10.69535,7.775819,0.956461371816948,-5.35416650803583,0.0031861706055066,0.42831906080207,-0.405703943075858,-0.519579785403863,-1.38585491427875,2.0575647798039,-0.32812013341489,-1.3644984582602
10,-10.69291,7.777983,2.54408047904866,-5.52429758246683,-0.0788635942815281,0.319603813584518,0.309783412236989,-0.794479989499367,-0.572092887138196,0.923383820726923,-0.262821329058196,-3.30314270276909
11,-10.694,7.776882,0.809277802582325,-4.10948067091334,0.416781598015259,0.169735659992454,0.126555934729476,-0.406574924048162,-0.739595750669954,1.19055189328087,0.142805163718852,-1.35545214833185
12,-10.69734,7.789943,1.76395466931999,-6.18308831715687,0.0649149713957045,0.404086994497231,-0.334335120237584,-0.832630946784173,-0.792919598014943,1.44910361367915,-0.266162591266637,-2.49625401765816
13,-10.69729,7.79035,1.39507340426083,-5.91237686261038,0.129396548139008,0.47842983130905,-0.0992944243861456,-0.789952063334192,-0.813026664054093,1.50997010288773,-0.083852741513448,-1.98200672017987
14,-10.69096,7.785849,1.56098060715812,-5.68136436299044,-0.237081707895329,0.364162455970121,-0.406759128405046,-0.670584722134776,-1.33492399924802,1.96248616530982,-0.399057276791557,-2.14746919430465
15,-10.68548,7.796031,1.47717837140468,-6.38794528594238,-0.187690652912697,0.0726143478358206,-0.518410782626347,-0.547636133507698,-1.33784393611746,1.92210517093402,-0.473208802678645,-1.78805550077013
16,-10.68473,7.794918,2.07189350976826,-6.28357004306359,-0.298101920968628,0.20796500472137,-0.135965353099953,-0.538484967118243,-0.913907347316263,1.83506496891359,-0.328305382080718,-2.45403417525672
17,-10.68909,7.79209,1.20201187473588,-5.19242691310277,0.066214412309641,0.338348548885634,-0.0110109304856724,-0.414995667284388,-0.99206679550277,1.55547602014509,-0.0461667972387313,-1.9560274771337
18,-10.74293,7.810202,1.67911749581763,-5.07313803022285,0.168803029118483,0.602730412509059,0.21795252674695,-0.544071936661154,-1.02091039813453,1.37101103798506,-0.395047266346362,-2.51748396347502
19,-10.74526,7.80543,1.40791172498772,-4.85840198875238,0.20091874274981,0.567016880690614,0.0561409867254112,-0.714488444326983,-0.765988578910997,0.84064759217358,-0.47540298950892,-2.03652927804966
20,-10.74905,7.802636,-0.18229942064546,-2.84200875009193,1.20841963018466,0.844973733522751,0.384518750394063,-0.515083000274488,-0.447529539976021,0.523781789698479,0.190481065463312,-0.649036215324539
21,-10.75008,7.801883,0.635331261509524,-4.42681660724368,0.226516644300488,0.888486707310111,-0.131394963643733,-0.307274287374834,-1.08085220003846,1.16976103107414,-0.30505084518962,-1.65809074332781
22,-10.75037,7.804512,3.25324861681477,-7.50725478618679,0.0755294955272162,0.463764524465313,-0.644343237150902,-1.45227578695923,-0.397340844473918,1.01665795482935,-1.00785397637259,-3.86547765516162
23,-10.75052,7.794291,0.541125379079767,-4.82080458094041,0.259392985114937,0.821675415801156,-0.618709703507814,-0.580261546423618,-0.925895102743184,1.87112685591504,-0.306753075232766,-1.29216957845189
24,-10.75533,7.777413,0.811118628096453,-4.85263265865311,0.102873469833565,0.736980858561973,-0.497321067030733,-0.967212520619484,-0.955950591220026,1.58854799027624,0.219624559001177,-1.85480108405515
25,-10.75878,7.783622,1.03731120961557,-5.12917381834283,0.418905895574087,0.76940914864653,0.309670642167239,-0.650352998783256,-0.695449184941174,0.897729742803219,-0.114231064149684,-1.59987151849084
26,-10.78838,7.786887,1.70205100029897,-6.79032736348711,-0.114398785239638,0.500662781915382,-0.70009211295663,-1.4173558533169,-0.825972836556692,1.91362689183709,-0.311973578240602,-2.37333945588226
27,-10.78724,7.789038,0.735685075487661,-4.32689890901021,0.489188916501797,0.570873958396295,0.000991687761310412,-0.475664272112992,-0.533141489499842,1.03136757198038,-0.0301065963834278,-1.54788799612166
28,-10.78203,7.788621,0.317865641003442,-3.52307992150634,0.290573577983815,0.828413274109461,-0.0311264493555508,-0.47000213047632,-0.824552707796751,1.03664151927997,0.258332482144922,-1.41522525645593
29,-10.77816,7.790899,0.8178777316537,-4.33212375575883,0.253487487023776,0.773008813157333,0.310054903588381,-0.504349498828603,-0.975801065304174,1.02896860893544,-0.0579411033531667,-1.46496178109277
30,-10.77574,7.796613,0.613792380507345,-4.6013273673415,0.388577148053167,0.671944734920317,0.169570305992773,-0.23433231130677,-1.09827042496101,1.33097043716824,-0.0563387605611331,-1.05952265677777
