,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,band
lsat_SWIR_mean_30m_glcm_entropy,0.117507381,-0.10847622,0.000814,-0.057364864,0.13620664,-0.195500123,-0.001373174,0.170976597,0.025303006,0.213254061,lsat_SWIR_mean_30m_glcm_entropy
lsat_SWIR_SD_30m_glcm_mean,0.113597784,-0.03198939,0.102429233,0.145609826,0.11241322,-0.072144798,0.076612514,0.030155299,-0.091405077,-0.004105596,lsat_SWIR_SD_30m_glcm_mean
lsat_SWIR_SD_30m_glcm_contrast,0.06990252,-0.0252687,0.049854047,-0.045995832,0.028241332,-0.043876804,0.190407979,0.068251907,-0.071116829,-0.127017232,lsat_SWIR_SD_30m_glcm_contrast
lsat_SWIR_SD_30m_glcm_entropy,0.007192557,0.039901424,0.059228319,-0.022024699,-0.077740102,-0.104895317,0.180875508,-0.169579625,-0.100504757,-0.313136355,lsat_SWIR_SD_30m_glcm_entropy
lsat_MIR_mean_30m_glcm_mean,0.184228483,0.126256807,-0.021688985,0.103235915,-0.079868339,-0.100197924,-0.19322612,0.150906218,0.076737653,0.062410092,lsat_MIR_mean_30m_glcm_mean
lsat_MIR_mean_30m_glcm_contrast,0.123284956,-0.071235632,0.032140716,0.024259799,0.080649154,-0.08418898,0.146697229,-0.050133413,0.099679937,0.112257124,lsat_MIR_mean_30m_glcm_contrast
lsat_MIR_mean_30m_glcm_entropy,0.096325921,-0.084460505,0.046217494,0.036809795,0.093019853,-0.113827174,0.090988947,-0.033296303,0.11015077,0.178815292,lsat_MIR_mean_30m_glcm_entropy
lsat_MIR_SD_30m_glcm_mean,0.151635007,0.012839034,0.10228302,0.128101293,0.077553564,-0.047702994,0.062105796,-0.018639679,-0.019300441,-0.001765089,lsat_MIR_SD_30m_glcm_mean
lsat_MIR_SD_30m_glcm_contrast,0.087493182,0.005791953,0.070597295,0.037778784,0.02720881,-0.113428792,0.163351093,0.029662507,0.01642416,-0.211596623,lsat_MIR_SD_30m_glcm_contrast
lsat_MIR_SD_30m_glcm_entropy,0.0288997,-0.005741017,0.031561623,-0.006293663,0.017756854,-0.118680036,0.018548486,0.072206465,-0.08338129,-0.23385213,lsat_MIR_SD_30m_glcm_entropy
lsat_VARI_mean_30m_glcm_mean,-0.158814462,-0.114036596,0.096987236,0.063153805,-0.097539646,-0.009766514,-0.081877703,0.090392216,0.130150656,-0.012628019,lsat_VARI_mean_30m_glcm_mean
lsat_VARI_mean_30m_glcm_contrast,0.16175927,0.021798306,0.067836306,0.069105977,-0.142163127,0.031561223,0.010052473,-0.063280382,0.087098128,-0.032382224,lsat_VARI_mean_30m_glcm_contrast
lsat_VARI_mean_30m_glcm_entropy,0.054798096,-0.032587083,0.092806018,0.230695762,-0.150455013,-0.162911335,0.053826475,-0.055602355,0.031350972,-0.242033657,lsat_VARI_mean_30m_glcm_entropy
lsat_VARI_SD_30m_glcm_mean,0.147759005,0.035485041,0.109297345,0.127495827,-0.048973801,0.096630213,0.016887748,-0.07469992,0.09314864,-0.071833776,lsat_VARI_SD_30m_glcm_mean
lsat_VARI_SD_30m_glcm_contrast,0.126299039,0.022472152,0.172141849,0.120633829,-0.031101629,0.090449403,0.06804435,-0.000974875,0.091295533,0.099744481,lsat_VARI_SD_30m_glcm_contrast
lsat_VARI_SD_30m_glcm_entropy,0.005594449,-0.010790543,0.182266473,0.118021712,0.054092278,0.178272917,0.019750536,0.074092094,0.011732187,0.232819855,lsat_VARI_SD_30m_glcm_entropy
lsat_GNDVI_mean_30m_glcm_mean,-0.152913527,-0.206172587,0.117486281,0.009938748,-0.032049175,0.042203433,-0.100488872,0.02561958,0.100299272,-0.000450208,lsat_GNDVI_mean_30m_glcm_mean
lsat_GNDVI_mean_30m_glcm_contrast,0.093543575,-0.201458138,-0.107121035,-0.059335145,-0.085222154,0.017409599,-0.046585644,0.021305952,-0.115969364,0.038051342,lsat_GNDVI_mean_30m_glcm_contrast
lsat_GNDVI_mean_30m_glcm_entropy,0.041078266,-0.219312103,-0.111517748,0.05806249,0.039209577,0.013328391,-0.045365287,0.002560713,-0.110885548,-0.063685136,lsat_GNDVI_mean_30m_glcm_entropy
lsat_GNDVI_SD_30m_glcm_mean,0.129813293,-0.043108033,0.087770812,0.052728772,-0.026205706,0.251471381,0.029182668,0.008773181,0.012681013,-0.054497232,lsat_GNDVI_SD_30m_glcm_mean
lsat_GNDVI_SD_30m_glcm_contrast,0.081064525,-0.106248398,0.004941275,-0.198732648,-0.214536732,-0.039844276,0.06879859,0.026566581,-0.119654744,0.035222821,lsat_GNDVI_SD_30m_glcm_contrast
lsat_GNDVI_SD_30m_glcm_entropy,0.032984045,0.121013117,0.153711416,-0.187781966,-0.113202001,0.077446084,-0.055503072,0.090250214,-0.007413039,0.094122176,lsat_GNDVI_SD_30m_glcm_entropy
lsat_PVI_mean_30m_glcm_mean,-0.116648234,-0.144320979,0.149845877,0.146971233,-0.106241465,0.047289259,-0.139578398,0.105530287,0.096033397,0.004148029,lsat_PVI_mean_30m_glcm_mean
lsat_PVI_mean_30m_glcm_contrast,0.033235427,-0.22489068,-0.094707631,-0.045733803,-0.074511298,0.004320832,-0.020489077,0.146442145,-0.073996183,0.124247431,lsat_PVI_mean_30m_glcm_contrast
lsat_PVI_mean_30m_glcm_entropy,0.024842048,-0.2430844,-0.093455062,0.05662131,0.010200307,0.010839644,-0.009126697,0.052045255,0.03970993,0.008940933,lsat_PVI_mean_30m_glcm_entropy
lsat_PVI_SD_30m_glcm_mean,0.098198826,-0.060456494,0.112143528,0.104290911,-0.055401989,0.223066021,0.116521498,0.095122841,-0.06813484,-0.007017359,lsat_PVI_SD_30m_glcm_mean
lsat_PVI_SD_30m_glcm_contrast,0.046137783,-0.121392924,-0.008660557,-0.171106695,-0.110022267,-0.010205111,-0.038719953,0.160516998,-0.046859126,0.080047255,lsat_PVI_SD_30m_glcm_contrast
lsat_PVI_SD_30m_glcm_entropy,-0.020598957,0.073128676,0.143950802,-0.11602436,-0.074937981,0.021268357,0.019946762,0.120100825,-0.096978621,0.1584621,lsat_PVI_SD_30m_glcm_entropy
